NHT Washing — System Monitor Log
==================================================

[13/8/2569 08:10:21] CPU: 80.4%  |  RAM: 6.70/16 GB (41.9%)
[13/8/2569 08:10:22] CPU: 54.0%  |  RAM: 6.77/16 GB (42.3%)
[13/8/2569 08:10:25] CPU: 68.7%  |  RAM: 6.74/16 GB (42.1%)
[13/8/2569 08:10:27] CPU: 85.7%  |  RAM: 6.75/16 GB (42.2%)
[13/8/2569 08:10:28] CPU: 85.4%  |  RAM: 6.80/16 GB (42.5%)
[13/8/2569 08:10:30] CPU: 57.3%  |  RAM: 6.80/16 GB (42.5%)
[13/8/2569 08:10:33] CPU: 76.2%  |  RAM: 6.79/16 GB (42.4%)
[13/8/2569 08:10:35] CPU: 79.1%  |  RAM: 6.81/16 GB (42.6%)
[13/8/2569 08:10:37] CPU: 89.4%  |  RAM: 6.81/16 GB (42.5%)
[13/8/2569 08:10:39] CPU: 88.0%  |  RAM: 6.85/16 GB (42.8%)
[13/8/2569 08:10:41] CPU: 94.6%  |  RAM: 6.85/16 GB (42.8%)
[13/8/2569 08:10:43] CPU: 94.3%  |  RAM: 6.86/16 GB (42.9%)
[13/8/2569 08:10:45] CPU: 88.9%  |  RAM: 6.86/16 GB (42.9%)
[13/8/2569 08:10:47] CPU: 76.8%  |  RAM: 6.77/16 GB (42.3%)
[13/8/2569 08:10:49] CPU: 65.5%  |  RAM: 6.77/16 GB (42.3%)
[13/8/2569 08:10:50] CPU: 66.7%  |  RAM: 6.77/16 GB (42.3%)
[13/8/2569 08:10:53] CPU: 69.5%  |  RAM: 6.77/16 GB (42.3%)
[13/8/2569 08:10:55] CPU: 70.8%  |  RAM: 6.76/16 GB (42.2%)
[13/8/2569 08:10:57] CPU: 86.7%  |  RAM: 6.83/16 GB (42.7%)
[13/8/2569 08:10:59] CPU: 89.7%  |  RAM: 6.81/16 GB (42.6%)
[13/8/2569 08:11:01] CPU: 69.7%  |  RAM: 6.74/16 GB (42.2%)
[13/8/2569 08:11:03] CPU: 67.6%  |  RAM: 6.77/16 GB (42.3%)
[13/8/2569 08:11:05] CPU: 87.9%  |  RAM: 6.80/16 GB (42.5%)
[13/8/2569 08:11:07] CPU: 83.8%  |  RAM: 6.80/16 GB (42.5%)
[13/8/2569 08:11:09] CPU: 93.4%  |  RAM: 6.52/16 GB (40.7%)
[13/8/2569 08:11:11] CPU: 97.0%  |  RAM: 6.58/16 GB (41.1%)
[13/8/2569 08:11:13] CPU: 90.5%  |  RAM: 6.52/16 GB (40.7%)
[13/8/2569 08:11:15] CPU: 70.8%  |  RAM: 6.50/16 GB (40.6%)
[13/8/2569 08:11:17] CPU: 56.1%  |  RAM: 6.51/16 GB (40.7%)
[13/8/2569 08:11:19] CPU: 64.9%  |  RAM: 6.50/16 GB (40.6%)
[13/8/2569 08:11:21] CPU: 50.0%  |  RAM: 6.47/16 GB (40.5%)
[13/8/2569 08:11:22] CPU: 54.5%  |  RAM: 6.46/16 GB (40.4%)
[13/8/2569 08:11:24] CPU: 48.9%  |  RAM: 6.53/16 GB (40.8%)
